0,0
0,0
0,0
0,0
0,0
0,2
0,0
0,1
0,1
0,6
0,8
1,19
0,18
1,31
1,55
0,68
0,88
3,80
3,116
4,142
3,123
6,169
7,180
8,198
10,196
10,239
17,236
9,256
12,269
20,264
39,271
30,310
32,308
37,318
58,382
45,410
54,368
55,378
70,413
77,423
76,430
95,442
101,448
103,407
135,453
137,436
125,465
158,439
154,442
141,447
160,427
182,421
216,397
214,385
208,374
242,355
230,384
234,359
243,397
251,397
252,377
253,332
276,317
265,334
306,308
297,311
315,300
283,301
294,276
331,254
324,248
325,268
355,248
350,254
362,221
397,197
407,226
383,178
387,232
375,202
397,209
439,200
421,161
437,167
425,163
416,178
423,148
449,156
459,139
445,168
480,168
433,154
465,147
465,150
481,147
416,138
495,150
498,159
525,166
482,142
524,146
521,151
517,131
492,169
519,137
530,133
461,132
579,146
484,137
483,160
530,123
491,121
507,127
570,141
538,126
547,125
543,137
589,131
555,135
610,127
536,124
531,136
595,148
522,133
581,120
557,136
596,116
553,145
540,132
585,109
565,135
537,165
527,138
533,127
533,125
543,134
525,142
544,135
552,139
565,133
517,148
552,137
496,157
566,138
516,171
531,129
581,137
536,147
500,153
524,158
546,174
544,187
498,167
483,165
474,190
507,169
505,189
492,165
488,191
484,169
489,208
546,197
498,204
488,195
465,226
463,191
445,208
461,204
438,206
436,254
426,239
378,216
427,235
375,243
387,246
356,243
373,275
307,229
310,277
309,267
286,266
294,263
256,298
216,292
241,304
206,294
194,315
170,293
169,352
144,343
143,322
98,332
126,351
118,366
92,385
102,378
97,404
87,388
75,403
77,415
73,424
78,423
73,440
79,444
64,444
69,457
59,431
72,475
60,488
52,465
63,504
55,517
46,575
57,496
64,464
75,495
43,512
54,525
53,523
40,478
39,479
58,497
51,495
54,460
42,493
44,513
60,517
42,520
41,516
38,496
44,456
41,457
45,487
35,458
46,451
37,417
29,448
33,359
29,312
26,268
16,224
20,177
19,145
17,132
22,113
19,104
16,105
13,93
24,116
20,125
18,92
17,91
15,185
18,1753
27,98
69,84
0,0
0,0
0,0
0,0
0,0
0,3
0,0
1,2
0,4
0,5
0,11
2,19
0,25
2,34
1,50
2,64
2,82
4,104
4,125
1,141
6,143
9,177
11,188
14,197
13,198
17,239
14,256
25,268
22,285
27,287
34,295
38,305
46,308
53,367
48,366
69,418
66,395
83,393
76,392
104,457
83,461
94,454
138,443
140,421
164,427
152,464
180,481
179,438
213,468
211,424
229,476
204,422
229,401
238,378
232,373
264,405
297,415
288,389
288,370
284,372
285,373
298,328
285,352
307,355
312,308
335,348
384,325
366,277
328,265
391,260
364,274
405,270
386,239
426,243
379,239
395,212
434,224
435,203
433,166
413,203
471,195
414,191
438,164
